source,relation,target,abbr,evidence
C:api:97,candidate,D:Echino,CfD,source=ntd_kg_pipeline_live_api;priority_score=61.3;max_phase=4.0;boxed_warning=True;disease_trial_count=0;serious_ae_reports=10869;pubmed_result_count=0
C:api:98,modulates,G:api:19,CbG,source=ntd_kg_pipeline_live_api
C:api:98,candidate,D:Echino,CfD,source=ntd_kg_pipeline_live_api;priority_score=31.3;max_phase=2.0;disease_trial_count=0;pubmed_result_count=0
C:api:99,modulates,G:api:19,CbG,source=ntd_kg_pipeline_live_api
C:api:99,candidate,D:Echino,CfD,source=ntd_kg_pipeline_live_api;priority_score=31.3;max_phase=2.0;disease_trial_count=0;pubmed_result_count=0
C:api:100,modulates,G:api:19,CbG,source=ntd_kg_pipeline_live_api
C:api:100,candidate,D:Echino,CfD,source=ntd_kg_pipeline_live_api;priority_score=31.3;max_phase=2.0;disease_trial_count=0;pubmed_result_count=0
C:api:101,modulates,G:api:19,CbG,source=ntd_kg_pipeline_live_api
C:api:101,candidate,D:Echino,CfD,source=ntd_kg_pipeline_live_api;priority_score=46.3;max_phase=3.0;disease_trial_count=0;serious_ae_reports=2;pubmed_result_count=0
C:api:102,modulates,G:api:19,CbG,source=ntd_kg_pipeline_live_api
C:api:102,candidate,D:Echino,CfD,source=ntd_kg_pipeline_live_api;priority_score=16.3;max_phase=1.0;disease_trial_count=0;pubmed_result_count=0
D:Echino,associated,G:api:20,DaG,source=ntd_kg_pipeline_live_api;assoc_score=0.027
D:Echino,associated,G:api:21,DaG,source=ntd_kg_pipeline_live_api;assoc_score=0.021
D:Echino,associated,G:api:2,DaG,source=ntd_kg_pipeline_live_api;assoc_score=0.019
C:api:1,modulates,G:api:2,CbG,source=ntd_kg_pipeline_live_api
C:api:1,candidate,D:Echino,CfD,source=ntd_kg_pipeline_live_api;priority_score=60.8;max_phase=4.0;boxed_warning=False;disease_trial_count=0;serious_ae_reports=259;pubmed_result_count=0
D:HAT,associated,G:api:22,DaG,source=ntd_kg_pipeline_live_api;assoc_score=0.485
C:api:103,modulates,G:api:22,CbG,source=ntd_kg_pipeline_live_api
C:api:103,candidate,D:HAT,CfD,source=ntd_kg_pipeline_live_api;priority_score=79.4;max_phase=4.0;boxed_warning=False;disease_trial_count=5;serious_ae_reports=24;pubmed_result_count=1
D:HAT,associated,G:api:23,DaG,source=ntd_kg_pipeline_live_api;assoc_score=0.057
D:HAT,associated,G:api:24,DaG,source=ntd_kg_pipeline_live_api;assoc_score=0.056
C:api:104,modulates,G:api:24,CbG,source=ntd_kg_pipeline_live_api
C:api:104,candidate,D:HAT,CfD,source=ntd_kg_pipeline_live_api;priority_score=62.3;max_phase=4.0;boxed_warning=False;disease_trial_count=0;serious_ae_reports=36151;pubmed_result_count=0
D:HAT,associated,G:api:25,DaG,source=ntd_kg_pipeline_live_api;assoc_score=0.053
D:HAT,associated,G:api:26,DaG,source=ntd_kg_pipeline_live_api;assoc_score=0.053
C:api:105,phenotypic_hit,D:HAT,CpH,source=ntd_kg_pipeline_live_api
C:api:105,phenotypic_hit,D:HAT,CpH,source=ntd_kg_pipeline_live_api
C:api:105,phenotypic_hit,D:HAT,CpH,source=ntd_kg_pipeline_live_api
C:api:105,phenotypic_hit,D:HAT,CpH,source=ntd_kg_pipeline_live_api
C:api:106,phenotypic_hit,D:HAT,CpH,source=ntd_kg_pipeline_live_api
C:api:106,phenotypic_hit,D:HAT,CpH,source=ntd_kg_pipeline_live_api
C:api:106,phenotypic_hit,D:HAT,CpH,source=ntd_kg_pipeline_live_api
C:api:107,phenotypic_hit,D:HAT,CpH,source=ntd_kg_pipeline_live_api
C:api:107,phenotypic_hit,D:HAT,CpH,source=ntd_kg_pipeline_live_api
C:api:107,phenotypic_hit,D:HAT,CpH,source=ntd_kg_pipeline_live_api
C:api:108,phenotypic_hit,D:HAT,CpH,source=ntd_kg_pipeline_live_api
C:api:108,phenotypic_hit,D:HAT,CpH,source=ntd_kg_pipeline_live_api
C:api:108,phenotypic_hit,D:HAT,CpH,source=ntd_kg_pipeline_live_api
C:api:109,phenotypic_hit,D:HAT,CpH,source=ntd_kg_pipeline_live_api
C:api:109,phenotypic_hit,D:HAT,CpH,source=ntd_kg_pipeline_live_api
C:api:109,phenotypic_hit,D:HAT,CpH,source=ntd_kg_pipeline_live_api
C:api:110,phenotypic_hit,D:HAT,CpH,source=ntd_kg_pipeline_live_api
C:api:110,phenotypic_hit,D:HAT,CpH,source=ntd_kg_pipeline_live_api
C:api:110,phenotypic_hit,D:HAT,CpH,source=ntd_kg_pipeline_live_api
C:api:110,phenotypic_hit,D:HAT,CpH,source=ntd_kg_pipeline_live_api
D:Leish,associated,G:api:27,DaG,source=ntd_kg_pipeline_live_api;assoc_score=0.591
D:Leish,associated,G:api:28,DaG,source=ntd_kg_pipeline_live_api;assoc_score=0.590
D:Leish,associated,G:api:29,DaG,source=ntd_kg_pipeline_live_api;assoc_score=0.589
D:Leish,associated,G:api:30,DaG,source=ntd_kg_pipeline_live_api;assoc_score=0.589
D:Leish,associated,G:api:31,DaG,source=ntd_kg_pipeline_live_api;assoc_score=0.589
C:api:111,phenotypic_hit,D:Leish,CpH,source=ntd_kg_pipeline_live_api
C:api:112,phenotypic_hit,D:Leish,CpH,source=ntd_kg_pipeline_live_api
C:api:113,phenotypic_hit,D:Leish,CpH,source=ntd_kg_pipeline_live_api
C:api:114,phenotypic_hit,D:Leish,CpH,source=ntd_kg_pipeline_live_api
C:api:115,phenotypic_hit,D:Leish,CpH,source=ntd_kg_pipeline_live_api
C:api:116,phenotypic_hit,D:Leish,CpH,source=ntd_kg_pipeline_live_api
C:api:117,phenotypic_hit,D:Leish,CpH,source=ntd_kg_pipeline_live_api
C:api:118,phenotypic_hit,D:Leish,CpH,source=ntd_kg_pipeline_live_api
C:api:119,phenotypic_hit,D:Leish,CpH,source=ntd_kg_pipeline_live_api
C:api:120,phenotypic_hit,D:Leish,CpH,source=ntd_kg_pipeline_live_api
C:api:121,phenotypic_hit,D:Leish,CpH,source=ntd_kg_pipeline_live_api
C:api:122,phenotypic_hit,D:Leish,CpH,source=ntd_kg_pipeline_live_api
C:api:123,phenotypic_hit,D:Leish,CpH,source=ntd_kg_pipeline_live_api
C:api:124,phenotypic_hit,D:Leish,CpH,source=ntd_kg_pipeline_live_api
C:Pentamidine,phenotypic_hit,D:Leish,CpH,source=ntd_kg_pipeline_live_api
C:api:125,phenotypic_hit,D:Leish,CpH,source=ntd_kg_pipeline_live_api
C:api:126,phenotypic_hit,D:Leish,CpH,source=ntd_kg_pipeline_live_api
C:api:127,phenotypic_hit,D:Leish,CpH,source=ntd_kg_pipeline_live_api
C:api:128,phenotypic_hit,D:Leish,CpH,source=ntd_kg_pipeline_live_api
C:api:129,phenotypic_hit,D:Leish,CpH,source=ntd_kg_pipeline_live_api
D:Leprosy,associated,G:api:32,DaG,source=ntd_kg_pipeline_live_api;assoc_score=0.512
D:Leprosy,associated,G:api:33,DaG,source=ntd_kg_pipeline_live_api;assoc_score=0.451
D:Leprosy,associated,G:api:34,DaG,source=ntd_kg_pipeline_live_api;assoc_score=0.442
D:Leprosy,associated,G:api:35,DaG,source=ntd_kg_pipeline_live_api;assoc_score=0.422
D:Leprosy,associated,G:api:36,DaG,source=ntd_kg_pipeline_live_api;assoc_score=0.414
D:LF,associated,G:api:37,DaG,source=ntd_kg_pipeline_live_api;assoc_score=0.092
D:LF,associated,G:api:38,DaG,source=ntd_kg_pipeline_live_api;assoc_score=0.092
C:Doxycycline,modulates,G:api:38,CbG,source=ntd_kg_pipeline_live_api
C:Doxycycline,candidate,D:LF,CfD,source=ntd_kg_pipeline_live_api;priority_score=63.7;max_phase=4.0;boxed_warning=False;disease_trial_count=6;serious_ae_reports=52682;pubmed_result_count=79
C:api:130,modulates,G:api:38,CbG,source=ntd_kg_pipeline_live_api
C:api:130,candidate,D:LF,CfD,source=ntd_kg_pipeline_live_api;priority_score=63.7;max_phase=4.0;disease_trial_count=6;serious_ae_reports=57;pubmed_result_count=0
C:api:131,modulates,G:api:38,CbG,source=ntd_kg_pipeline_live_api
C:api:131,candidate,D:LF,CfD,source=ntd_kg_pipeline_live_api;priority_score=63.7;max_phase=4.0;boxed_warning=False;disease_trial_count=6;serious_ae_reports=10502;pubmed_result_count=0
C:api:132,modulates,G:api:38,CbG,source=ntd_kg_pipeline_live_api
C:api:132,candidate,D:LF,CfD,source=ntd_kg_pipeline_live_api;priority_score=33.7;max_phase=2.0;disease_trial_count=0;serious_ae_reports=1;pubmed_result_count=0
C:api:133,modulates,G:api:38,CbG,source=ntd_kg_pipeline_live_api
C:api:133,candidate,D:LF,CfD,source=ntd_kg_pipeline_live_api;priority_score=33.7;max_phase=2.0;disease_trial_count=0;serious_ae_reports=1;pubmed_result_count=0
D:LF,associated,G:api:39,DaG,source=ntd_kg_pipeline_live_api;assoc_score=0.092
D:LF,associated,G:api:40,DaG,source=ntd_kg_pipeline_live_api;assoc_score=0.092
C:Doxycycline,modulates,G:api:40,CbG,source=ntd_kg_pipeline_live_api
C:Doxycycline,candidate,D:LF,CfD,source=ntd_kg_pipeline_live_api;priority_score=63.7;max_phase=4.0;boxed_warning=False;disease_trial_count=6;serious_ae_reports=52682;pubmed_result_count=79
C:api:130,modulates,G:api:40,CbG,source=ntd_kg_pipeline_live_api
C:api:130,candidate,D:LF,CfD,source=ntd_kg_pipeline_live_api;priority_score=63.7;max_phase=4.0;disease_trial_count=6;serious_ae_reports=57;pubmed_result_count=0
C:api:131,modulates,G:api:40,CbG,source=ntd_kg_pipeline_live_api
C:api:131,candidate,D:LF,CfD,source=ntd_kg_pipeline_live_api;priority_score=63.7;max_phase=4.0;boxed_warning=False;disease_trial_count=6;serious_ae_reports=10502;pubmed_result_count=0
C:api:134,modulates,G:api:40,CbG,source=ntd_kg_pipeline_live_api
C:api:134,candidate,D:LF,CfD,source=ntd_kg_pipeline_live_api;priority_score=48.7;max_phase=3.0;disease_trial_count=0;pubmed_result_count=0
D:LF,associated,G:api:13,DaG,source=ntd_kg_pipeline_live_api;assoc_score=0.060
C:api:93,modulates,G:api:13,CbG,source=ntd_kg_pipeline_live_api
C:api:93,candidate,D:LF,CfD,source=ntd_kg_pipeline_live_api;priority_score=32.4;max_phase=2.0;disease_trial_count=0;pubmed_result_count=0
C:api:94,modulates,G:api:13,CbG,source=ntd_kg_pipeline_live_api
C:api:94,candidate,D:LF,CfD,source=ntd_kg_pipeline_live_api;priority_score=32.4;max_phase=2.0;disease_trial_count=0;pubmed_result_count=0
C:api:95,modulates,G:api:13,CbG,source=ntd_kg_pipeline_live_api
C:api:95,candidate,D:LF,CfD,source=ntd_kg_pipeline_live_api;priority_score=17.4;max_phase=1.0;disease_trial_count=0;pubmed_result_count=0
D:api:4,associated,G:api:41,DaG,source=ntd_kg_pipeline_live_api;assoc_score=0.014
D:api:4,associated,G:api:42,DaG,source=ntd_kg_pipeline_live_api;assoc_score=0.012
C:api:135,modulates,G:api:42,CbG,source=ntd_kg_pipeline_live_api
C:api:135,candidate,D:api:4,CfD,source=ntd_kg_pipeline_live_api;priority_score=60.5;max_phase=4.0;boxed_warning=False;disease_trial_count=0;serious_ae_reports=4731;pubmed_result_count=0
C:api:136,modulates,G:api:42,CbG,source=ntd_kg_pipeline_live_api
C:api:136,candidate,D:api:4,CfD,source=ntd_kg_pipeline_live_api;priority_score=60.5;max_phase=4.0;boxed_warning=False;disease_trial_count=0;serious_ae_reports=1168;pubmed_result_count=0
C:api:137,modulates,G:api:42,CbG,source=ntd_kg_pipeline_live_api
C:api:137,candidate,D:api:4,CfD,source=ntd_kg_pipeline_live_api;priority_score=30.5;max_phase=2.0;disease_trial_count=0;pubmed_result_count=0
C:api:138,modulates,G:api:42,CbG,source=ntd_kg_pipeline_live_api
C:api:138,candidate,D:api:4,CfD,source=ntd_kg_pipeline_live_api;priority_score=30.5;max_phase=2.0;disease_trial_count=0;pubmed_result_count=0
C:api:139,modulates,G:api:42,CbG,source=ntd_kg_pipeline_live_api
C:api:139,candidate,D:api:4,CfD,source=ntd_kg_pipeline_live_api;priority_score=30.5;max_phase=2.0;disease_trial_count=0;pubmed_result_count=0
C:api:140,modulates,G:api:42,CbG,source=ntd_kg_pipeline_live_api
C:api:140,candidate,D:api:4,CfD,source=ntd_kg_pipeline_live_api;priority_score=60.5;max_phase=4.0;boxed_warning=False;disease_trial_count=0;serious_ae_reports=3865;pubmed_result_count=0
C:api:141,modulates,G:api:42,CbG,source=ntd_kg_pipeline_live_api
C:api:141,candidate,D:api:4,CfD,source=ntd_kg_pipeline_live_api;priority_score=45.5;max_phase=3.0;disease_trial_count=0;pubmed_result_count=0
C:api:142,modulates,G:api:42,CbG,source=ntd_kg_pipeline_live_api
C:api:142,candidate,D:api:4,CfD,source=ntd_kg_pipeline_live_api;priority_score=30.5;max_phase=2.0;disease_trial_count=0;serious_ae_reports=2;pubmed_result_count=0
C:api:143,modulates,G:api:42,CbG,source=ntd_kg_pipeline_live_api
C:api:143,candidate,D:api:4,CfD,source=ntd_kg_pipeline_live_api;priority_score=45.5;max_phase=3.0;disease_trial_count=0;pubmed_result_count=0
C:api:144,modulates,G:api:42,CbG,source=ntd_kg_pipeline_live_api
C:api:144,candidate,D:api:4,CfD,source=ntd_kg_pipeline_live_api;priority_score=30.5;max_phase=2.0;disease_trial_count=0;pubmed_result_count=0
C:api:145,modulates,G:api:42,CbG,source=ntd_kg_pipeline_live_api
C:api:145,candidate,D:api:4,CfD,source=ntd_kg_pipeline_live_api;priority_score=45.5;max_phase=3.0;disease_trial_count=0;pubmed_result_count=0
D:api:4,associated,G:api:43,DaG,source=ntd_kg_pipeline_live_api;assoc_score=0.011
C:api:146,modulates,G:api:43,CbG,source=ntd_kg_pipeline_live_api
C:api:146,candidate,D:api:4,CfD,source=ntd_kg_pipeline_live_api;priority_score=30.5;max_phase=2.0;disease_trial_count=0;pubmed_result_count=0
D:api:4,associated,G:api:3,DaG,source=ntd_kg_pipeline_live_api;assoc_score=0.010
C:api:2,modulates,G:api:3,CbG,source=ntd_kg_pipeline_live_api
C:api:2,candidate,D:api:4,CfD,source=ntd_kg_pipeline_live_api;priority_score=30.4;max_phase=2.0;disease_trial_count=0;pubmed_result_count=0
C:api:3,modulates,G:api:3,CbG,source=ntd_kg_pipeline_live_api
C:api:3,candidate,D:api:4,CfD,source=ntd_kg_pipeline_live_api;priority_score=30.4;max_phase=2.0;disease_trial_count=0;pubmed_result_count=0
D:api:4,associated,G:api:44,DaG,source=ntd_kg_pipeline_live_api;assoc_score=0.009
C:api:147,phenotypic_hit,D:api:4,CpH,source=ntd_kg_pipeline_live_api
C:api:148,phenotypic_hit,D:api:4,CpH,source=ntd_kg_pipeline_live_api
C:api:149,phenotypic_hit,D:api:4,CpH,source=ntd_kg_pipeline_live_api
C:api:150,phenotypic_hit,D:api:4,CpH,source=ntd_kg_pipeline_live_api
C:api:151,phenotypic_hit,D:api:4,CpH,source=ntd_kg_pipeline_live_api
C:api:152,phenotypic_hit,D:api:4,CpH,source=ntd_kg_pipeline_live_api
C:api:153,phenotypic_hit,D:api:4,CpH,source=ntd_kg_pipeline_live_api
C:api:154,phenotypic_hit,D:api:4,CpH,source=ntd_kg_pipeline_live_api
C:api:155,phenotypic_hit,D:api:4,CpH,source=ntd_kg_pipeline_live_api
C:api:156,phenotypic_hit,D:api:4,CpH,source=ntd_kg_pipeline_live_api
C:api:157,phenotypic_hit,D:api:4,CpH,source=ntd_kg_pipeline_live_api
C:api:158,phenotypic_hit,D:api:4,CpH,source=ntd_kg_pipeline_live_api
C:api:159,phenotypic_hit,D:api:4,CpH,source=ntd_kg_pipeline_live_api
C:api:160,phenotypic_hit,D:api:4,CpH,source=ntd_kg_pipeline_live_api
C:api:161,phenotypic_hit,D:api:4,CpH,source=ntd_kg_pipeline_live_api
C:api:162,phenotypic_hit,D:api:4,CpH,source=ntd_kg_pipeline_live_api
C:api:163,phenotypic_hit,D:api:4,CpH,source=ntd_kg_pipeline_live_api
C:api:164,phenotypic_hit,D:api:4,CpH,source=ntd_kg_pipeline_live_api
C:api:165,phenotypic_hit,D:api:4,CpH,source=ntd_kg_pipeline_live_api
C:api:166,phenotypic_hit,D:api:4,CpH,source=ntd_kg_pipeline_live_api
D:Oncho,associated,G:api:45,DaG,source=ntd_kg_pipeline_live_api;assoc_score=0.028
D:Oncho,associated,G:api:19,DaG,source=ntd_kg_pipeline_live_api;assoc_score=0.027
C:api:97,modulates,G:api:19,CbG,source=ntd_kg_pipeline_live_api
C:api:97,candidate,D:Oncho,CfD,source=ntd_kg_pipeline_live_api;priority_score=61.1;max_phase=4.0;boxed_warning=True;disease_trial_count=0;serious_ae_reports=10869;pubmed_result_count=0
C:api:98,modulates,G:api:19,CbG,source=ntd_kg_pipeline_live_api
C:api:98,candidate,D:Oncho,CfD,source=ntd_kg_pipeline_live_api;priority_score=31.1;max_phase=2.0;disease_trial_count=0;pubmed_result_count=0
C:api:99,modulates,G:api:19,CbG,source=ntd_kg_pipeline_live_api
C:api:99,candidate,D:Oncho,CfD,source=ntd_kg_pipeline_live_api;priority_score=31.1;max_phase=2.0;disease_trial_count=0;pubmed_result_count=0
C:api:100,modulates,G:api:19,CbG,source=ntd_kg_pipeline_live_api
C:api:100,candidate,D:Oncho,CfD,source=ntd_kg_pipeline_live_api;priority_score=31.1;max_phase=2.0;disease_trial_count=0;pubmed_result_count=0
C:api:101,modulates,G:api:19,CbG,source=ntd_kg_pipeline_live_api
C:api:101,candidate,D:Oncho,CfD,source=ntd_kg_pipeline_live_api;priority_score=46.1;max_phase=3.0;disease_trial_count=0;serious_ae_reports=2;pubmed_result_count=0
C:api:102,modulates,G:api:19,CbG,source=ntd_kg_pipeline_live_api
C:api:102,candidate,D:Oncho,CfD,source=ntd_kg_pipeline_live_api;priority_score=16.1;max_phase=1.0;disease_trial_count=0;pubmed_result_count=0
D:Oncho,associated,G:api:46,DaG,source=ntd_kg_pipeline_live_api;assoc_score=0.025
D:Oncho,associated,G:api:47,DaG,source=ntd_kg_pipeline_live_api;assoc_score=0.021
C:api:167,modulates,G:api:47,CbG,source=ntd_kg_pipeline_live_api
C:api:167,candidate,D:Oncho,CfD,source=ntd_kg_pipeline_live_api;priority_score=60.8;max_phase=4.0;disease_trial_count=2;serious_ae_reports=28;pubmed_result_count=0
D:Oncho,associated,G:api:43,DaG,source=ntd_kg_pipeline_live_api;assoc_score=0.021
C:api:146,modulates,G:api:43,CbG,source=ntd_kg_pipeline_live_api
C:api:146,candidate,D:Oncho,CfD,source=ntd_kg_pipeline_live_api;priority_score=30.8;max_phase=2.0;disease_trial_count=0;pubmed_result_count=0
C:api:168,phenotypic_hit,D:Oncho,CpH,source=ntd_kg_pipeline_live_api
C:api:169,phenotypic_hit,D:Oncho,CpH,source=ntd_kg_pipeline_live_api
C:api:170,phenotypic_hit,D:Oncho,CpH,source=ntd_kg_pipeline_live_api
C:api:171,phenotypic_hit,D:Oncho,CpH,source=ntd_kg_pipeline_live_api
C:api:172,phenotypic_hit,D:Oncho,CpH,source=ntd_kg_pipeline_live_api
C:api:173,phenotypic_hit,D:Oncho,CpH,source=ntd_kg_pipeline_live_api
C:api:174,phenotypic_hit,D:Oncho,CpH,source=ntd_kg_pipeline_live_api
C:api:175,phenotypic_hit,D:Oncho,CpH,source=ntd_kg_pipeline_live_api
C:api:176,phenotypic_hit,D:Oncho,CpH,source=ntd_kg_pipeline_live_api
C:api:168,phenotypic_hit,D:Oncho,CpH,source=ntd_kg_pipeline_live_api
C:api:177,phenotypic_hit,D:Oncho,CpH,source=ntd_kg_pipeline_live_api
C:api:178,phenotypic_hit,D:Oncho,CpH,source=ntd_kg_pipeline_live_api
C:api:179,phenotypic_hit,D:Oncho,CpH,source=ntd_kg_pipeline_live_api
C:api:180,phenotypic_hit,D:Oncho,CpH,source=ntd_kg_pipeline_live_api
C:api:181,phenotypic_hit,D:Oncho,CpH,source=ntd_kg_pipeline_live_api
C:api:182,phenotypic_hit,D:Oncho,CpH,source=ntd_kg_pipeline_live_api
C:api:183,phenotypic_hit,D:Oncho,CpH,source=ntd_kg_pipeline_live_api
C:api:184,phenotypic_hit,D:Oncho,CpH,source=ntd_kg_pipeline_live_api
C:api:185,phenotypic_hit,D:Oncho,CpH,source=ntd_kg_pipeline_live_api
C:api:186,phenotypic_hit,D:Oncho,CpH,source=ntd_kg_pipeline_live_api
D:api:5,associated,G:api:48,DaG,source=ntd_kg_pipeline_live_api;assoc_score=0.001
D:Scabies,associated,G:api:49,DaG,source=ntd_kg_pipeline_live_api;assoc_score=0.679
C:api:187,modulates,G:api:49,CbG,source=ntd_kg_pipeline_live_api
C:api:187,candidate,D:Scabies,CfD,source=ntd_kg_pipeline_live_api;priority_score=87.2;max_phase=4.0;boxed_warning=True;disease_trial_count=0;serious_ae_reports=102;pubmed_result_count=0
C:api:188,modulates,G:api:49,CbG,source=ntd_kg_pipeline_live_api
C:api:188,candidate,D:Scabies,CfD,source=ntd_kg_pipeline_live_api;priority_score=87.2;max_phase=4.0;boxed_warning=True;disease_trial_count=0;serious_ae_reports=1998;pubmed_result_count=0
C:api:189,modulates,G:api:49,CbG,source=ntd_kg_pipeline_live_api
C:api:189,candidate,D:Scabies,CfD,source=ntd_kg_pipeline_live_api;priority_score=72.2;max_phase=3.0;disease_trial_count=0;serious_ae_reports=24;pubmed_result_count=0
C:api:190,modulates,G:api:49,CbG,source=ntd_kg_pipeline_live_api
C:api:190,candidate,D:Scabies,CfD,source=ntd_kg_pipeline_live_api;priority_score=42.2;max_phase=1.0;disease_trial_count=0;pubmed_result_count=0
C:api:191,modulates,G:api:49,CbG,source=ntd_kg_pipeline_live_api
C:api:191,candidate,D:Scabies,CfD,source=ntd_kg_pipeline_live_api;priority_score=42.2;max_phase=1.0;disease_trial_count=0;pubmed_result_count=0
C:api:192,modulates,G:api:49,CbG,source=ntd_kg_pipeline_live_api
C:api:192,candidate,D:Scabies,CfD,source=ntd_kg_pipeline_live_api;priority_score=57.2;max_phase=2.0;disease_trial_count=0;serious_ae_reports=26;pubmed_result_count=0
C:api:193,modulates,G:api:49,CbG,source=ntd_kg_pipeline_live_api
C:api:193,candidate,D:Scabies,CfD,source=ntd_kg_pipeline_live_api;priority_score=57.2;max_phase=2.0;disease_trial_count=0;pubmed_result_count=0
C:api:194,modulates,G:api:49,CbG,source=ntd_kg_pipeline_live_api
C:api:194,candidate,D:Scabies,CfD,source=ntd_kg_pipeline_live_api;priority_score=87.2;max_phase=4.0;boxed_warning=False;disease_trial_count=0;serious_ae_reports=90;pubmed_result_count=0
C:api:195,modulates,G:api:49,CbG,source=ntd_kg_pipeline_live_api
C:api:195,candidate,D:Scabies,CfD,source=ntd_kg_pipeline_live_api;priority_score=57.2;max_phase=2.0;disease_trial_count=0;pubmed_result_count=0
C:api:196,modulates,G:api:49,CbG,source=ntd_kg_pipeline_live_api
C:api:196,candidate,D:Scabies,CfD,source=ntd_kg_pipeline_live_api;priority_score=57.2;max_phase=2.0;disease_trial_count=0;pubmed_result_count=0
C:api:197,modulates,G:api:49,CbG,source=ntd_kg_pipeline_live_api
C:api:197,candidate,D:Scabies,CfD,source=ntd_kg_pipeline_live_api;priority_score=57.2;max_phase=2.0;disease_trial_count=0;pubmed_result_count=0
D:Scabies,associated,G:api:50,DaG,source=ntd_kg_pipeline_live_api;assoc_score=0.559
C:api:198,modulates,G:api:50,CbG,source=ntd_kg_pipeline_live_api
C:api:198,candidate,D:Scabies,CfD,source=ntd_kg_pipeline_live_api;priority_score=67.3;max_phase=3.0;disease_trial_count=0;serious_ae_reports=1;pubmed_result_count=0
D:Scabies,associated,G:api:51,DaG,source=ntd_kg_pipeline_live_api;assoc_score=0.495
C:api:199,modulates,G:api:51,CbG,source=ntd_kg_pipeline_live_api
C:api:199,candidate,D:Scabies,CfD,source=ntd_kg_pipeline_live_api;priority_score=79.8;max_phase=4.0;boxed_warning=False;disease_trial_count=0;serious_ae_reports=418606;pubmed_result_count=11
C:api:200,modulates,G:api:51,CbG,source=ntd_kg_pipeline_live_api
C:api:200,candidate,D:Scabies,CfD,source=ntd_kg_pipeline_live_api;priority_score=79.8;max_phase=4.0;boxed_warning=False;disease_trial_count=0;serious_ae_reports=23;pubmed_result_count=0
C:api:201,modulates,G:api:51,CbG,source=ntd_kg_pipeline_live_api
C:api:201,candidate,D:Scabies,CfD,source=ntd_kg_pipeline_live_api;priority_score=79.8;max_phase=4.0;disease_trial_count=0;pubmed_result_count=0
C:api:202,modulates,G:api:51,CbG,source=ntd_kg_pipeline_live_api
C:api:202,candidate,D:Scabies,CfD,source=ntd_kg_pipeline_live_api;priority_score=79.8;max_phase=4.0;boxed_warning=False;disease_trial_count=0;serious_ae_reports=823;pubmed_result_count=0
C:api:203,modulates,G:api:51,CbG,source=ntd_kg_pipeline_live_api
C:api:203,candidate,D:Scabies,CfD,source=ntd_kg_pipeline_live_api;priority_score=79.8;max_phase=4.0;boxed_warning=False;disease_trial_count=0;serious_ae_reports=26676;pubmed_result_count=1
C:api:204,modulates,G:api:51,CbG,source=ntd_kg_pipeline_live_api
C:api:204,candidate,D:Scabies,CfD,source=ntd_kg_pipeline_live_api;priority_score=79.8;max_phase=4.0;boxed_warning=False;disease_trial_count=0;serious_ae_reports=68468;pubmed_result_count=4
C:api:205,modulates,G:api:51,CbG,source=ntd_kg_pipeline_live_api
C:api:205,candidate,D:Scabies,CfD,source=ntd_kg_pipeline_live_api;priority_score=79.8;max_phase=4.0;boxed_warning=False;disease_trial_count=0;serious_ae_reports=13496;pubmed_result_count=1
C:api:206,modulates,G:api:51,CbG,source=ntd_kg_pipeline_live_api
C:api:206,candidate,D:Scabies,CfD,source=ntd_kg_pipeline_live_api;priority_score=79.8;max_phase=4.0;disease_trial_count=0;serious_ae_reports=6;pubmed_result_count=0
C:api:207,modulates,G:api:51,CbG,source=ntd_kg_pipeline_live_api
C:api:207,candidate,D:Scabies,CfD,source=ntd_kg_pipeline_live_api;priority_score=79.8;max_phase=4.0;boxed_warning=False;disease_trial_count=0;serious_ae_reports=5410;pubmed_result_count=4
C:api:208,modulates,G:api:51,CbG,source=ntd_kg_pipeline_live_api
C:api:208,candidate,D:Scabies,CfD,source=ntd_kg_pipeline_live_api;priority_score=79.8;max_phase=4.0;boxed_warning=False;disease_trial_count=0;serious_ae_reports=3921;pubmed_result_count=0
C:api:209,modulates,G:api:51,CbG,source=ntd_kg_pipeline_live_api
C:api:209,candidate,D:Scabies,CfD,source=ntd_kg_pipeline_live_api;priority_score=79.8;max_phase=4.0;boxed_warning=False;disease_trial_count=0;serious_ae_reports=1529;pubmed_result_count=0
C:api:210,modulates,G:api:51,CbG,source=ntd_kg_pipeline_live_api
C:api:210,candidate,D:Scabies,CfD,source=ntd_kg_pipeline_live_api;priority_score=79.8;max_phase=4.0;disease_trial_count=0;pubmed_result_count=0
C:api:211,modulates,G:api:51,CbG,source=ntd_kg_pipeline_live_api
C:api:211,candidate,D:Scabies,CfD,source=ntd_kg_pipeline_live_api;priority_score=79.8;max_phase=4.0;boxed_warning=False;disease_trial_count=0;serious_ae_reports=1648;pubmed_result_count=0
C:api:212,modulates,G:api:51,CbG,source=ntd_kg_pipeline_live_api
C:api:212,candidate,D:Scabies,CfD,source=ntd_kg_pipeline_live_api;priority_score=79.8;max_phase=4.0;boxed_warning=False;disease_trial_count=0;serious_ae_reports=333;pubmed_result_count=0
C:api:213,modulates,G:api:51,CbG,source=ntd_kg_pipeline_live_api
C:api:213,candidate,D:Scabies,CfD,source=ntd_kg_pipeline_live_api;priority_score=79.8;max_phase=4.0;disease_trial_count=0;serious_ae_reports=1;pubmed_result_count=0
C:api:214,modulates,G:api:51,CbG,source=ntd_kg_pipeline_live_api
